"","Participant_ID","Seq_part","Verb","Davies_Rank","Davies_Rating","CORPES_Rank","CORPES_Rating","WordList_Rank","WordList_Rating","Part_Rating","FofU_Comp","FofU_Prod","DELE","AoA_ENG","Davies_Std","CORPES_Std","WordList_Std","SRLF_Std","FofU","FofU_Std","DELE_Std","AoA_ENG_Std"
"1","HSP01",1,"atar",30,15876,30,9406,30,385409,2,10,13,45,0,-0.481739628392195,-0.564137185909228,-0.487528887732951,-1.24715519712399,23,-0.690731804655633,1.02517885028748,-1.05445291624808
"2","HSP02",2,"atar",30,15876,30,9406,30,385409,2,12,13,38,0,-0.481739628392195,-0.564137185909228,-0.487528887732951,-1.24715519712399,25,-0.434234346874356,-0.142038419314777,-1.05445291624808
"3","HSP03",3,"atar",30,15876,30,9406,30,385409,2,21,22,40,3,-0.481739628392195,-0.564137185909228,-0.487528887732951,-1.24715519712399,43,1.87424277315714,0.191452229143012,0.224763548695409
"4","HSP04",4,"atar",30,15876,30,9406,30,385409,0,15,16,40,0,-0.481739628392195,-0.564137185909228,-0.487528887732951,-2.04812225225201,31,0.335258026469475,0.191452229143012,-1.05445291624808
"5","HSP05",5,"atar",30,15876,30,9406,30,385409,1,15,12,40,0,-0.481739628392195,-0.564137185909228,-0.487528887732951,-1.647638724688,27,-0.177736889093079,0.191452229143012,-1.05445291624808
"6","HSP06",6,"atar",30,15876,30,9406,30,385409,3,20,20,49,0,-0.481739628392195,-0.564137185909228,-0.487528887732951,-0.846671669559979,40,1.48949658648522,1.69216014720306,-1.05445291624808
"7","HSP07",7,"atar",30,15876,30,9406,30,385409,0,11,12,39,7,-0.481739628392195,-0.564137185909228,-0.487528887732951,-2.04812225225201,23,-0.690731804655633,0.0247069049141176,1.93038550195339
"8","HSP08",8,"atar",30,15876,30,9406,30,385409,0,13,11,41,5,-0.481739628392195,-0.564137185909228,-0.487528887732951,-2.04812225225201,24,-0.562483075764994,0.358197553371906,1.0775745253244
"9","HSP09",9,"atar",30,15876,30,9406,30,385409,0,12,11,30,0,-0.481739628392195,-0.564137185909228,-0.487528887732951,-2.04812225225201,23,-0.690731804655633,-1.47600101314593,-1.05445291624808
"10","HSP10",10,"atar",30,15876,30,9406,30,385409,0,16,16,43,4,-0.481739628392195,-0.564137185909228,-0.487528887732951,-2.04812225225201,32,0.463506755360113,0.691688201829695,0.651169037009904
"11","HSP11",11,"atar",30,15876,30,9406,30,385409,4,13,13,34,3,-0.481739628392195,-0.564137185909228,-0.487528887732951,-0.446188141995969,26,-0.305985617983718,-0.809019716230355,0.224763548695409
"12","HSP12",12,"atar",30,15876,30,9406,30,385409,3,19,19,42,7,-0.481739628392195,-0.564137185909228,-0.487528887732951,-0.846671669559979,38,1.23299912870394,0.524942877600801,1.93038550195339
"13","HSP13",13,"atar",30,15876,30,9406,30,385409,0,19,19,42,0,-0.481739628392195,-0.564137185909228,-0.487528887732951,-2.04812225225201,38,1.23299912870394,0.524942877600801,-1.05445291624808
"14","HSP14",14,"atar",30,15876,30,9406,30,385409,1,13,16,28,0,-0.481739628392195,-0.564137185909228,-0.487528887732951,-1.647638724688,29,0.0787605686881978,-1.80949166160372,-1.05445291624808
