Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,Response_Freq,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,40P,2,1,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,43,3136079,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,1.2600919430299753,2.731661574155914,0.814302693746198,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,30P,4,1,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,43,37118,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.5826497247200848,-0.37141591381283245,-0.6476071644925802,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,35P,7,1,1,#09: doler,doler,69627,11678,6450,Irregular,0,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,43,-5228,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.7033046597043621,-0.4138181638913344,-0.6796825054732522,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,25P,9,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,43,-11415,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.6741187562856675,-0.4200133823590927,-0.5978618692774641,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,39P,12,1,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,43,1306223,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,1.905585356693238,0.8993748949029198,1.0457869660134518,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,29P,14,0,0,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,43,-264072,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,1.3510926687589766,-0.6730059979091817,2.3652098897745137,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,34P,17,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,43,-95053,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.5666063150160578,-0.5037624824409362,-0.3627090430084386,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,24P,19,1,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,43,-34938,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.5814597376576526,-0.4435676290080466,-0.556900310243108,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,38P,22,0,0,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,43,37118,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.5826497247200848,-0.37141591381283245,-0.6476071644925802,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,28P,24,1,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,43,-4995,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.707488449864236,-0.4135848543870532,-0.6872706198032323,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,33P,27,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,43,-11415,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.6741187562856675,-0.4200133823590927,-0.5978618692774641,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,23P,29,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,E,Regular stative with durante,Herencia,Producción,43,-95053,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.5666063150160578,-0.5037624824409362,-0.3627090430084386,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,37P,32,1,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,H,Irregular stative with entre,Herencia,Producción,43,-4995,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.707488449864236,-0.4135848543870532,-0.6872706198032323,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,27P,34,1,1,#01: estar,estar,10180830,1173419,2479642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,43,1306223,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,1.905585356693238,0.8993748949029198,1.0457869660134518,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,32P,37,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,43,9386,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.7005657801146574,-0.39918475146401594,-0.6887395266484762,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,22P,39,1,NA,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,43,9386,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.7005657801146574,-0.39918475146401594,-0.6887395266484762,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,36P,42,0,0,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,43,-264072,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,1.3510926687589766,-0.6730059979091817,2.3652098897745137,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,26P,44,1,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,F,Irregular stative with durante,Herencia,Producción,43,3136079,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,1.2600919430299753,2.731661574155914,0.814302693746198,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,31P,47,1,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,G,Regular stative with entre,Herencia,Producción,43,-34938,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.5814597376576526,-0.4435676290080466,-0.556900310243108,NA,-0.6837896349421009
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,21P,49,0,NA,#08: amar,amar,65158,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,E,Regular stative with durante,Herencia,Producción,43,9386,1.6604536753862473,1.5587898429025906,1.728523920473985,-0.7389783948927452,-0.1295999415887719,-0.704457749943306,-0.39918475146401594,-0.6887395266484762,NA,-0.6837896349421009
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,40P,2,0,0,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Frequent,NA,H,Irregular stative with entre,Herencia,Producción,23,3136079,-0.6054106151195059,-0.7085408376829958,-0.49287228254479093,1.81748740365513,-0.32708556686690043,1.2600919430299753,2.731661574155914,0.814302693746198,NA,2.0274998739710495
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,30P,4,1,1,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,F,Irregular stative with durante,Herencia,Producción,23,37118,-0.6054106151195059,-0.7085408376829958,-0.49287228254479093,1.81748740365513,-0.32708556686690043,-0.5826497247200848,-0.37141591381283245,-0.6476071644925802,NA,2.0274998739710495
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,35P,7,1,1,#09: doler,doler,69627,11678,6450,Irregular,0,DativeExp,NA,NA,Aspect,Preterit,EAPT,Production,Infrequent,NA,G,Regular stative with entre,Herencia,Producción,23,-5228,-0.6054106151195059,-0.7085408376829958,-0.49287228254479093,1.81748740365513,-0.32708556686690043,-0.7033046597043621,-0.4138181638913344,-0.6796825054732522,NA,2.0274998739710495
